id,start_time,end_time,duration_hr,gap_hr
0,2021-12-13T17:28:30,2021-12-13T17:28:40,0.003,0.800
1,2021-12-13T18:16:40,2021-12-13T18:16:50,0.003,0.436
2,2021-12-13T18:43:00,2021-12-13T18:43:30,0.008,1.331
3,2021-12-13T20:03:20,2021-12-13T20:03:30,0.003,28.336
4,2021-12-15T00:23:40,2021-12-16T04:47:40,28.400,0.347
5,2021-12-16T05:08:30,2021-12-16T09:13:30,4.083,0.314
6,2021-12-16T09:32:20,2021-12-16T09:57:10,0.414,0.650
7,2021-12-16T10:36:10,2021-12-16T10:36:20,0.003,0.236
8,2021-12-16T10:50:30,2021-12-16T11:31:20,0.681,2.375
9,2021-12-16T13:53:50,2021-12-16T14:06:20,0.208,1.608
10,2021-12-16T15:42:50,2021-12-16T15:50:20,0.125,0.706
11,2021-12-16T16:32:40,2021-12-16T16:40:20,0.128,0.528
12,2021-12-16T17:12:00,2021-12-16T18:14:50,1.047,0.814
13,2021-12-16T19:03:40,2021-12-16T19:51:00,0.789,0.736
14,2021-12-16T20:35:10,2021-12-16T20:59:00,0.397,0.481
15,2021-12-16T21:27:50,2021-12-16T21:28:30,0.011,0.603
16,2021-12-16T22:04:40,2021-12-16T22:05:40,0.017,0.231
17,2021-12-16T22:19:30,2021-12-16T22:29:10,0.161,1.192
18,2021-12-16T23:40:40,2021-12-16T23:40:50,0.003,0.353
19,2021-12-17T00:02:00,2021-12-17T00:02:20,0.006,0.547
20,2021-12-17T00:35:10,2021-12-17T00:35:30,0.006,2.719
21,2021-12-17T03:18:40,2021-12-17T03:19:00,0.006,0.425
22,2021-12-17T03:44:30,2021-12-17T03:48:10,0.061,0.414
23,2021-12-17T04:13:00,2021-12-17T04:21:40,0.144,5.272
24,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,1.744
25,2021-12-17T11:43:20,2021-12-17T12:05:10,0.364,0.244
26,2021-12-17T12:19:50,2021-12-17T12:20:30,0.011,0.261
27,2021-12-17T12:36:10,2021-12-17T13:08:40,0.542,0.233
28,2021-12-17T13:22:40,2021-12-18T02:23:20,13.011,0.747
29,2021-12-18T03:08:10,2021-12-18T17:03:00,13.914,1.825
30,2021-12-18T18:52:30,2021-12-18T19:13:30,0.350,0.314
31,2021-12-18T19:32:20,2021-12-18T20:38:30,1.103,10.931
32,2021-12-19T07:34:20,2021-12-19T18:53:40,11.322,6.042
33,2021-12-20T00:56:10,2021-12-20T00:57:00,0.014,0.500
34,2021-12-20T01:27:00,2021-12-20T01:38:30,0.192,0.253
35,2021-12-20T01:53:40,2021-12-20T02:08:50,0.253,0.294
36,2021-12-20T02:26:30,2021-12-20T02:27:00,0.008,0.483
37,2021-12-20T02:56:00,2021-12-20T02:58:00,0.033,0.383
38,2021-12-20T03:21:00,2021-12-20T03:58:30,0.625,0.325
39,2021-12-20T04:18:00,2021-12-20T04:23:30,0.092,1.342
40,2021-12-20T05:44:00,2021-12-20T05:44:10,0.003,1.881
41,2021-12-20T07:37:00,2021-12-20T07:51:20,0.239,0.631
42,2021-12-20T08:29:10,2021-12-20T08:52:20,0.386,0.228
43,2021-12-20T09:06:00,2021-12-20T09:11:30,0.092,4.531
