id,start_time,end_time,duration_hr,gap_hr
0,2021-12-13T18:43:00,2021-12-13T18:43:30,0.008,29.669
1,2021-12-15T00:23:40,2021-12-16T04:47:40,28.400,0.347
2,2021-12-16T05:08:30,2021-12-16T09:57:10,4.811,0.650
3,2021-12-16T10:36:10,2021-12-16T11:31:20,0.919,2.375
4,2021-12-16T13:53:50,2021-12-16T14:06:20,0.208,1.608
5,2021-12-16T15:42:50,2021-12-16T15:50:20,0.125,0.706
6,2021-12-16T16:32:40,2021-12-16T16:40:20,0.128,0.528
7,2021-12-16T17:12:00,2021-12-16T18:14:50,1.047,0.814
8,2021-12-16T19:03:40,2021-12-16T19:51:00,0.789,0.736
9,2021-12-16T20:35:10,2021-12-16T20:59:00,0.397,0.481
10,2021-12-16T21:27:50,2021-12-16T21:28:30,0.011,0.603
11,2021-12-16T22:04:40,2021-12-16T22:29:10,0.408,1.547
12,2021-12-17T00:02:00,2021-12-17T00:02:20,0.006,0.547
13,2021-12-17T00:35:10,2021-12-17T00:35:30,0.006,2.719
14,2021-12-17T03:18:40,2021-12-17T03:19:00,0.006,0.425
15,2021-12-17T03:44:30,2021-12-17T03:48:10,0.061,0.414
16,2021-12-17T04:13:00,2021-12-17T04:21:40,0.144,5.272
17,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,1.744
18,2021-12-17T11:43:20,2021-12-18T02:23:20,14.667,0.747
19,2021-12-18T03:08:10,2021-12-18T17:03:00,13.914,1.825
20,2021-12-18T18:52:30,2021-12-18T20:38:30,1.767,10.658
21,2021-12-19T07:18:00,2021-12-19T18:53:40,11.594,6.042
22,2021-12-20T00:56:10,2021-12-20T00:57:00,0.014,0.500
23,2021-12-20T01:27:00,2021-12-20T02:27:00,1.000,0.483
24,2021-12-20T02:56:00,2021-12-20T02:58:00,0.033,0.383
25,2021-12-20T03:21:00,2021-12-20T04:23:30,1.042,3.225
26,2021-12-20T07:37:00,2021-12-20T08:05:50,0.481,0.389
27,2021-12-20T08:29:10,2021-12-20T09:11:30,0.706,4.531
28,2021-12-20T13:43:20,2021-12-20T14:11:00,0.461,4.086
29,2021-12-20T18:16:10,2021-12-20T18:58:30,0.706,0.906
30,2021-12-20T19:52:50,2021-12-20T23:02:30,3.161,0.392
31,2021-12-20T23:26:00,2021-12-21T01:25:10,1.986,0.906
32,2021-12-21T02:19:30,2021-12-21T04:09:50,1.839,0.367
33,2021-12-21T04:31:50,2021-12-21T22:26:40,17.914,0.364
34,2021-12-21T22:48:30,2021-12-22T00:57:10,2.144,0.478
35,2021-12-22T01:25:50,2021-12-22T02:00:30,0.578,0.417
36,2021-12-22T02:25:30,2021-12-22T02:50:50,0.422,0.408
37,2021-12-22T03:15:20,2021-12-22T04:56:40,1.689,0.597
38,2021-12-22T05:32:30,2021-12-22T05:40:20,0.131,0.594
39,2021-12-22T06:16:00,2021-12-22T06:44:40,0.478,0.494
40,2021-12-22T07:14:20,2021-12-22T09:51:10,2.614,0.428
41,2021-12-22T10:16:50,2021-12-22T10:40:20,0.392,0.472
42,2021-12-22T11:08:40,2021-12-22T11:20:30,0.197,1.036
43,2021-12-22T12:22:40,2021-12-22T12:51:40,0.483,0.417
44,2021-12-22T13:16:40,2021-12-24T09:19:50,44.053,0.447
45,2021-12-24T09:46:40,2021-12-24T14:19:50,4.553,0.353
46,2021-12-24T14:41:00,2021-12-24T22:38:20,7.956,0.369
47,2021-12-24T23:00:30,2021-12-24T23:34:20,0.564,0.464
48,2021-12-25T00:02:10,2021-12-25T00:39:10,0.617,0.539
49,2021-12-25T01:11:30,2021-12-25T01:25:50,0.239,0.514
50,2021-12-25T01:56:40,2021-12-25T02:35:50,0.653,0.406
51,2021-12-25T03:00:10,2021-12-25T04:12:30,1.206,1.533
52,2021-12-25T05:44:30,2021-12-25T07:21:40,1.619,0.797
53,2021-12-25T08:09:30,2021-12-25T09:20:10,1.178,0.542
54,2021-12-25T09:52:40,2021-12-25T10:43:30,0.847,0.406
55,2021-12-25T11:07:50,2021-12-25T13:17:50,2.167,0.447
56,2021-12-25T13:44:40,2021-12-25T14:04:40,0.333,0.514
57,2021-12-25T14:35:30,2021-12-26T12:05:50,21.506,0.650
58,2021-12-26T12:44:50,2021-12-26T21:42:50,8.967,0.600
59,2021-12-26T22:18:50,2021-12-26T23:10:00,0.853,0.367
60,2021-12-26T23:32:00,2021-12-26T23:51:10,0.319,0.458
61,2021-12-27T00:18:40,2021-12-27T23:00:00,22.689,0.486
62,2021-12-27T23:29:10,2021-12-28T00:54:00,1.414,0.736
63,2021-12-28T01:38:10,2021-12-28T02:09:30,0.522,0.642
64,2021-12-28T02:48:00,2021-12-28T03:04:30,0.275,0.353
